circuit,map,type,direction,location,country,last_length_used,turns,grands_prix,seasons,grands_prix_held
"{'text': 'Miami International Autodrome *', 'url': 'https://en.wikipedia.org/wiki/Miami_International_Autodrome'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Hard_Rock_Stadium_Circuit_2022.svg'}",Street circuit,Anti-clockwise,"{'text': 'Miami Gardens', 'url': 'https://en.wikipedia.org/wiki/Miami_Gardens,_Florida'}",United States,5.412 km (3.363 mi),19,"{'text': 'Miami Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Miami_Grand_Prix'}",2022 – 2025,4
"{'text': 'Montjuïc circuit', 'url': 'https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Montju%C3%AFc_circuit.svg'}",Street circuit,Anti-clockwise,"{'text': 'Barcelona', 'url': 'https://en.wikipedia.org/wiki/Barcelona'}",Spain,3.791 km (2.356 mi),18,"{'text': 'Spanish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Spanish_Grand_Prix'}","[{'text': '1969', 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_season'}, {'text': '1971', 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_season'}, {'text': '1973', 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_season'}, {'text': '1975', 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_season'}]",4
"{'text': 'Mosport International Raceway', 'url': 'https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Mosport.svg'}",Race circuit,Clockwise,"{'text': 'Bowmanville', 'url': 'https://en.wikipedia.org/wiki/Bowmanville'}",Canada,3.957 km (2.459 mi),10,"{'text': 'Canadian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Canadian_Grand_Prix'}","1967 , 1969 , 1971 – 1974 , 1976 – 1977",8
"{'text': 'Nivelles-Baulers', 'url': 'https://en.wikipedia.org/wiki/Nivelles-Baulers'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Nivelles-Baulers.png'}",Race circuit,Clockwise,"{'text': 'Nivelles', 'url': 'https://en.wikipedia.org/wiki/Nivelles'}",Belgium,3.724 km (2.314 mi),7,"{'text': 'Belgian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Belgian_Grand_Prix'}","[{'text': '1972', 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_season'}, {'text': '1974', 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_season'}]",2
"{'text': 'Nürburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:N%C3%BCrburgring_-_Grand-Prix-Strecke.svg'}",Race circuit,Clockwise,"{'text': 'Nürburg', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburg'}",Germany,5.148 km (3.199 mi),15,"German Grand Prix , European Grand Prix , Luxembourg Grand Prix , Eifel Grand Prix","1951 – 1954 , 1956 – 1958 , 1961 – 1969 , 1971 – 1976 , 1984 – 1985 , 1995 – 2007 , 2009 , 2011 , 2013 , 2020",41
"{'text': 'Pescara Circuit', 'url': 'https://en.wikipedia.org/wiki/Pescara_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Pescara.svg'}",Road circuit,Clockwise,"{'text': 'Pescara', 'url': 'https://en.wikipedia.org/wiki/Pescara'}",Italy,25.800 km (16.031 mi),24*,"{'text': 'Pescara Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Pescara_Grand_Prix'}","{'text': '1957', 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_season'}",1
"{'text': 'Phoenix Street Circuit', 'url': 'https://en.wikipedia.org/wiki/Phoenix_Street_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Phoenix_Grand_Prix_Route_-_1991.svg'}",Street circuit,Anti-clockwise,"{'text': 'Phoenix', 'url': 'https://en.wikipedia.org/wiki/Phoenix,_Arizona'}",United States,3.720 km (2.312 mi),12,"{'text': 'United States Grand Prix', 'url': 'https://en.wikipedia.org/wiki/United_States_Grand_Prix'}",1989 – 1991,3
"{'text': 'Prince George Circuit', 'url': 'https://en.wikipedia.org/wiki/Prince_George_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Prince_George_Circuit.svg'}",Race circuit,Clockwise,"{'text': 'East London', 'url': 'https://en.wikipedia.org/wiki/East_London,_Eastern_Cape'}",South Africa,3.920 km (2.436 mi),8,"{'text': 'South African Grand Prix', 'url': 'https://en.wikipedia.org/wiki/South_African_Grand_Prix'}","1962 – 1963 , 1965",3
"{'text': 'Red Bull Ring *', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Ring'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Spielberg_bare_map_numbers_contextless_2021_corner_names.svg'}",Race circuit,Clockwise,"{'text': 'Spielberg', 'url': 'https://en.wikipedia.org/wiki/Spielberg,_Styria'}",Austria,4.318 km (2.683 mi),10,"Austrian Grand Prix , Styrian Grand Prix","1970 – 1987 , 1997 – 2003 , 2014 – 2025 [ e ]",39
"{'text': 'Riverside International Raceway', 'url': 'https://en.wikipedia.org/wiki/Riverside_International_Raceway'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Riverside_International_Raceway_1967.svg'}",Race circuit,Clockwise,"{'text': 'Moreno Valley', 'url': 'https://en.wikipedia.org/wiki/Moreno_Valley,_California'}",United States,5.271 km (3.275 mi),9,"{'text': 'United States Grand Prix', 'url': 'https://en.wikipedia.org/wiki/United_States_Grand_Prix'}","{'text': '1960', 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_season'}",1
"{'text': 'Rouen-Les-Essarts', 'url': 'https://en.wikipedia.org/wiki/Rouen-Les-Essarts'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Rouen_track_layout_1955-1971.gif'}",Road circuit,Clockwise,"{'text': 'Orival', 'url': 'https://en.wikipedia.org/wiki/Orival,_Seine-Maritime'}",France,6.542 km (4.065 mi),13,"{'text': 'French Grand Prix', 'url': 'https://en.wikipedia.org/wiki/French_Grand_Prix'}","[{'text': '1952', 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_season'}, {'text': '1957', 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_season'}, {'text': '1962', 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_season'}, {'text': '1964', 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_season'}, {'text': '1968', 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_season'}]",5
"{'text': 'Scandinavian Raceway', 'url': 'https://en.wikipedia.org/wiki/Anderstorp_Raceway'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Scandinavian_Raceway_1978.svg'}",Race circuit,Clockwise,"{'text': 'Anderstorp', 'url': 'https://en.wikipedia.org/wiki/Anderstorp'}",Sweden,4.031 km (2.505 mi),8,"{'text': 'Swedish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Swedish_Grand_Prix'}",1973 – 1978,6
