manufacturer,manufacturer_status,engines_built_in,seasons,races_entered,races_started,wins,points,poles,fastest_laps,podiums,wcc,wdc
"{'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}",current,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}, {'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}, {'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}, {'year': 2007, 'url': 'https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship'}, {'year': 2008, 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}, {'year': 2009, 'url': 'https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship'}, {'year': 2010, 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}, {'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}, {'year': 2013, 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}, {'year': 2014, 'url': 'https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship'}, {'year': 2015, 'url': 'https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship'}, {'year': 2016, 'url': 'https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship'}, {'year': 2017, 'url': 'https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship'}, {'year': 2018, 'url': 'https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship'}, {'year': 2019, 'url': 'https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship'}, {'year': 2020, 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}, {'year': 2021, 'url': 'https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship'}, {'year': 2022, 'url': 'https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship'}, {'year': 2023, 'url': 'https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship'}, {'year': 2024, 'url': 'https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship'}, {'year': 2025, 'url': 'https://en.wikipedia.org/wiki/2025_Formula_One_World_Championship'}]",612,610,238,16356.5,248,239,658,12,13
"{'text': 'Motori Moderni', 'url': 'https://en.wikipedia.org/wiki/Motori_Moderni'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}, {'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}, {'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}]",46,44,0,0.0,0,0,0,0,0
"{'text': 'Mugen-Honda', 'url': 'https://en.wikipedia.org/wiki/Mugen_Honda'}",former,"{'text': 'Japan', 'url': 'https://en.wikipedia.org/wiki/Japan'}","[{'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}, {'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}]",147,147,4,182.0,1,0,16,0,0
"{'text': 'OSCA', 'url': 'https://en.wikipedia.org/wiki/O.S.C.A.'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}]",12,8,0,0.0,0,0,0,0,0
"{'text': 'Osella', 'url': 'https://en.wikipedia.org/wiki/Osella'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}]",16,10,0,0.0,0,0,0,0,0
"{'text': 'Petronas', 'url': 'https://en.wikipedia.org/wiki/Sauber_Petronas_Engineering'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}]",153,151,0,142.0,0,0,4,0,0
"{'text': 'Peugeot', 'url': 'https://en.wikipedia.org/wiki/Peugeot'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}, {'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}]",115,115,0,128.0,0,1,14,0,0
"{'text': 'Playlife', 'url': 'https://en.wikipedia.org/wiki/Playlife'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}]",49,49,0,69.0,1,1,6,0,0
"{'text': 'Porsche', 'url': 'https://en.wikipedia.org/wiki/Porsche_in_Formula_One'}",former,"{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}","[{'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}]",39,35,1,48.0,1,0,5,0,0
"{'text': 'Pratt & Whitney', 'url': 'https://en.wikipedia.org/wiki/Pratt_%26_Whitney'}",former,"{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/United_States'}","[{'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}]",3,3,0,0.0,0,0,0,0,0
"{'text': 'Red Bull Powertrains', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Powertrains'}",former,"{'text': 'Japan', 'url': 'https://en.wikipedia.org/wiki/Japan'}","[{'year': 2022, 'url': 'https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship'}]",22,22,17,794.0,8,8,28,1,1
"{'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}",current,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}, {'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}, {'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}, {'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}, {'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}, {'year': 1983, 'url': 'https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship'}, {'year': 1984, 'url': 'https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship'}, {'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}, {'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}, {'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}, {'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}, {'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}, {'year': 2007, 'url': 'https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship'}, {'year': 2008, 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}, {'year': 2009, 'url': 'https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship'}, {'year': 2010, 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}, {'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}, {'year': 2013, 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}, {'year': 2014, 'url': 'https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship'}, {'year': 2015, 'url': 'https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship'}, {'year': 2016, 'url': 'https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship'}, {'year': 2017, 'url': 'https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship'}, {'year': 2018, 'url': 'https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship'}, {'year': 2019, 'url': 'https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship'}, {'year': 2020, 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}, {'year': 2021, 'url': 'https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship'}, {'year': 2022, 'url': 'https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship'}, {'year': 2023, 'url': 'https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship'}, {'year': 2024, 'url': 'https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship'}, {'year': 2025, 'url': 'https://en.wikipedia.org/wiki/2025_Formula_One_World_Championship'}]",773,770,169,8228.5,213,177,465,12,11
"{'text': 'Repco', 'url': 'https://en.wikipedia.org/wiki/Repco'}",former,"{'text': 'Australia', 'url': 'https://en.wikipedia.org/wiki/Australia'}","[{'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}]",33,33,8,126.0,7,4,25,2,2
"{'text': 'Sauber', 'url': 'https://en.wikipedia.org/wiki/Sauber_Motorsport'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}]",16,16,0,12.0,0,0,0,0,0
"{'text': 'Scarab', 'url': 'https://en.wikipedia.org/wiki/Scarab_(constructor)'}",former,"{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/United_States'}","[{'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}]",6,2,0,0.0,0,0,0,0,0
"{'text': 'Serenissima', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Serenissima'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}]",3,1,0,1.0,0,0,0,0,0
"{'text': 'Subaru', 'url': 'https://en.wikipedia.org/wiki/Subaru'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}]",8,0,0,0.0,0,0,0,0,0
"{'text': 'Supertec', 'url': 'https://en.wikipedia.org/wiki/Supertec'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}]",33,33,0,42.0,0,1,3,0,0
"{'text': 'TAG', 'url': 'https://en.wikipedia.org/wiki/Techniques_d%27Avant_Garde'}",former,"{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}","[{'year': 1983, 'url': 'https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship'}, {'year': 1984, 'url': 'https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship'}, {'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}, {'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}, {'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}]",68,68,25,405.5,7,18,54,2,3
"{'text': 'TAG Heuer', 'url': 'https://en.wikipedia.org/wiki/TAG_Heuer'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 2016, 'url': 'https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship'}, {'year': 2017, 'url': 'https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship'}, {'year': 2018, 'url': 'https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship'}]",62,62,9,1255.0,3,13,42,0,0
"{'text': 'Talbot', 'url': 'https://en.wikipedia.org/wiki/Talbot-Lago'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}]",14,13,0,,0,0,2,,0
"{'text': 'Tecno', 'url': 'https://en.wikipedia.org/wiki/Tecno_(motorsport)'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}, {'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",13,10,0,1.0,0,0,0,0,0
"{'text': 'Toro Rosso', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 2017, 'url': 'https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship'}]",20,20,0,53.0,0,0,0,0,0
"{'text': 'Toyota', 'url': 'https://en.wikipedia.org/wiki/Toyota_Racing_(Formula_One_team)'}",former,"{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}","[{'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}, {'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}, {'year': 2007, 'url': 'https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship'}, {'year': 2008, 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}, {'year': 2009, 'url': 'https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship'}]",140,140,0,384.0,3,4,17,0,0
"{'text': 'Vanwall', 'url': 'https://en.wikipedia.org/wiki/Vanwall'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}]",29,28,9,57.0,7,6,13,1,0
"{'text': 'Veritas', 'url': 'https://en.wikipedia.org/wiki/Veritas_(automobile)'}",former,"{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}","[{'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}]",6,6,0,,0,0,0,,0
"{'text': 'Weslake', 'url': 'https://en.wikipedia.org/wiki/Weslake'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}]",18,18,1,13.0,0,2,2,0,0
"{'text': 'Yamaha', 'url': 'https://en.wikipedia.org/wiki/Yamaha_Motor_Company'}",former,"{'text': 'Japan', 'url': 'https://en.wikipedia.org/wiki/Japan'}","[{'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}, {'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}]",130,116,0,36.0,0,0,2,0,0
"{'text': 'Zakspeed', 'url': 'https://en.wikipedia.org/wiki/Zakspeed'}",former,"{'text': 'Germany', 'url': 'https://en.wikipedia.org/wiki/Germany'}","[{'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}, {'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}, {'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}, {'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}]",57,51,0,2.0,0,0,0,0,0
