season,main_colours,additional_colours,main_sponsors,additional_major_sponsors,notes,team,non-tobacco_liveries,special_liveries,livery_sponsors,non-tobacco_alcohol_livery_changes,drivers,other_informations_including_non-tobacco_alcohol_race_changes,other_information,non_tobacco_alcohol_changess,additional_major_sponsors___notes,livery_principal_sponsors,non-tobacco_alcohol_livery_changes_location-specific_livery_changes_2011-present,non-tobacco_alcohol_livery_changess,non-tobacco_alcohol_and_other_livery_changes,other_changes
"[{'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}]",['Red'],,,"['Firestone', 'Girling', 'Pastiglie SMOG Tabletter', 'Woolmark Eifelland Caravans ( German Grand Prix only)']",,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}, {'text': 'Alex Soler-Roig', 'url': 'https://en.wikipedia.org/wiki/Alex_Soler-Roig'}, {'text': 'Andrea de Adamich', 'url': 'https://en.wikipedia.org/wiki/Andrea_de_Adamich'}, {'text': 'Nanni Galli', 'url': 'https://en.wikipedia.org/wiki/Nanni_Galli'}, {'text': 'Mike Beuttler', 'url': 'https://en.wikipedia.org/wiki/Mike_Beuttler'}, {'text': 'Niki Lauda', 'url': 'https://en.wikipedia.org/wiki/Niki_Lauda'}]",,,,,,,,,
"[{'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}]",['Red'],,,"['Champion', 'FINA', 'Ford', 'Girling', 'Goodyear', ""Levi's Jeans"", 'Shell', 'Vick Cough Drops']",,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}, {'text': 'Niki Lauda', 'url': 'https://en.wikipedia.org/wiki/Niki_Lauda'}]",,,,,,,,,
"[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",['Black'],,,"['Champion', 'Goodyear', 'Kendall Motor Oil', 'Shell']",,March Engineering,,,[],,"[{'text': 'Jean-Pierre Jarier', 'url': 'https://en.wikipedia.org/wiki/Jean-Pierre_Jarier'}]",,,,,,,,,
"[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",['Red'],,,['Meubles Marcel Arnold Sasol ( South African Grand Prix only)'],,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Jean-Pierre Jarier', 'url': 'https://en.wikipedia.org/wiki/Jean-Pierre_Jarier'}]",,,,,,,,,
"[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",['Red'],,,"['Champion', 'FINA', 'Girling', 'Goodyear', 'Shell']",,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Jean-Pierre Jarier', 'url': 'https://en.wikipedia.org/wiki/Jean-Pierre_Jarier'}]",,,,,,,,,
"[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",['Red'],,,"['Champion', 'FINA', 'Girling', 'Goodyear', 'Shell']",,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Henri Pescarolo', 'url': 'https://en.wikipedia.org/wiki/Henri_Pescarolo'}]",,,,,,,,,
"[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",['Red'],,,"['Champion', 'FINA', 'Girling', 'Goodyear', 'Shell']",,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Roger Williamson', 'url': 'https://en.wikipedia.org/wiki/Roger_Williamson'}]",,,,,,,,,
"[{'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}]",['Red'],,,['Tom Wheatcroft Racing'],,March Engineering,,,['STP Oil Treatment'],,"[{'text': 'Roger Williamson', 'url': 'https://en.wikipedia.org/wiki/Roger_Williamson'}]",,,,,,,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['Orange'],,,"['Champion', 'Goodyear', 'Valvoline']",,March Engineering,,,['Beta Utensili'],,"[{'text': 'Vittorio Brambilla', 'url': 'https://en.wikipedia.org/wiki/Vittorio_Brambilla'}]",,,,,,,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['Dark Green'],,,"['Champion', 'Goodyear']",,March Engineering,,,[],,"[{'text': 'Howden Ganley', 'url': 'https://en.wikipedia.org/wiki/Howden_Ganley'}]",,,,,,,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['Dark Green'],,,"['Champion', 'Goodyear']",,March Engineering,,,[],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['Dark Green'],,,"['Champion', 'Goodyear']",,March Engineering,,,['Orange'],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['Reine WIsell'],,,"['Champion', 'Goodyear']",,March Engineering,,,['Orange'],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['Vittorio Brambilla'],,,['Beta Utensili'],,March Engineering,,,['Orange'],,"[{'text': '1975', 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_season'}]",,,,,,,,,
[],['White'],,,"['AGV', 'Champion', 'Goodyear']",,March Engineering,,,"['Lavazza', 'Elf']",,"[{'text': '1975', 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_season'}]",,,,,,,,,
[],['White'],,,"['AGV', 'Champion', 'Goodyear']",,March Engineering,,,"['Lavazza', 'Elf']",,"[{'text': '1975', 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_season'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Orange'],,,"['Champion', 'Goodyear']",,March Engineering,,,['Beta Utensili'],,"[{'text': 'Vittorio Brambilla', 'url': 'https://en.wikipedia.org/wiki/Vittorio_Brambilla'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Yellow'],,,"['Champion', 'Goodyear']",,March Engineering,,,['Lavazza'],,"[{'text': 'Lella Lombardi', 'url': 'https://en.wikipedia.org/wiki/Lella_Lombardi'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Yellow and Blue'],,,"['Champion', 'Duckhams', 'FINA', 'Goodyear', 'Shell']",,March Engineering,,,['Swedish flag'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Yellow and Blue'],,,"['Champion', 'Duckhams', 'FINA', 'Goodyear', 'Shell']",,March Engineering,,,['Monaco Fine Arts Gallery ( Monaco Grand Prix only)'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Yellow and Blue'],,,"['Champion', 'Duckhams', 'FINA', 'Goodyear', 'Shell']",,March Engineering,,,['Duckhams ( French Grand Prix only)'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Yellow and Blue'],,,"['Champion', 'Duckhams', 'FINA', 'Goodyear', 'Shell']",,March Engineering,,,['Macconal-Mason Gallery Fine Paintings ( British Grand Prix only)'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]","['Red', 'White and Blue']",,,"['Champion', 'Duckhams', 'FINA', 'Goodyear', 'Shell']",,March Engineering,,,['First National City Travelers Checks'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]","['Red', 'White and Blue']",,,"['Champion', 'Duckhams', 'FINA', 'Goodyear', 'Shell']",,March Engineering,,,['John Day Model Cars ( Dutch Grand Prix only)'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['White'],,,[],,March Engineering,,,['Theodore Racing Hong Kong ( United States Grand Prix West only)'],,"[{'text': 'Ronnie Peterson', 'url': 'https://en.wikipedia.org/wiki/Ronnie_Peterson'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['White'],,,"['Champion', 'Goodyear', 'Valvoline Monaco Fine Arts Gallery ( Monaco Grand Prix only) Macconal-Mason Gallery Fine Paintings ( British Grand Prix only)']",,March Engineering,,,['Theodore Racing Hong Kong ( United States Grand Prix West only)'],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['White'],,,"['Champion', 'Goodyear', 'Valvoline Monaco Fine Arts Gallery ( Monaco Grand Prix only) Macconal-Mason Gallery Fine Paintings ( British Grand Prix only)']",,March Engineering,,,['John Day Model Cars'],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['White'],,,"['Champion', 'Goodyear', 'Valvoline Monaco Fine Arts Gallery ( Monaco Grand Prix only) Macconal-Mason Gallery Fine Paintings ( British Grand Prix only)']",,March Engineering,,,['Orange'],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Arturo Merzario'],,,"['Champion', 'Goodyear', 'Valvoline Monaco Fine Arts Gallery ( Monaco Grand Prix only) Macconal-Mason Gallery Fine Paintings ( British Grand Prix only)']",,March Engineering,,,['White'],,"[{'text': 'Hans-Joachim Stuck', 'url': 'https://en.wikipedia.org/wiki/Hans-Joachim_Stuck'}]",,,,,,,,,
"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]",['Alex Ribeiro'],,,['Hollywood'],,March Engineering,,,['Red'],,"[{'text': '1977', 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_season'}]",,,,,,,,,
[],['Blue'],,,"['Goodyear', 'Champion', 'Valvoline']",,March Engineering,,,['Rothmans International'],,"[{'text': '1977', 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_season'}]",,,,,,,,,
[],['White'],,,"['Goodyear', 'Champion', 'Valvoline']",,March Engineering,,,['Sportsman Lager'],,"[{'text': '1977', 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_season'}]",,,,,,,,,
[],['White'],,,"['Goodyear', 'Champion', 'Valvoline']",,March Engineering,,,['Lexington Racing'],,"[{'text': '1977', 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_season'}]",,,,,,,,,
"[{'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}]","['Black', 'White']",,,"['EMCO Drehmaschinen', 'Esso', 'E-Z Wider', 'ICI Chemical & Plastics', 'Mangels Wheels', 'Moulin Rouge', 'Rainbow Jeanswear', 'Ultramar', 'Valvoline']",,March Engineering,,,"['Guinness', 'Rizla+.']",,"[{'text': 'Derek Daly', 'url': 'https://en.wikipedia.org/wiki/Derek_Daly'}]",,,,,,,,,
"[{'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}]","['Black', 'White']",,,"['Esso', 'Joker', 'Michelin', 'Tacora', 'Tecfin', 'Toyota']",,March Engineering,,,"['Din', 'Rizla+.']",,"[{'text': 'Eliseo Salazar', 'url': 'https://en.wikipedia.org/wiki/Eliseo_Salazar'}]",,,,,,,,,
"[{'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",['Black and Green White and Blue'],,,"['Banco Comind', 'Café do Brasil', 'Embratur', 'ICI Record', 'Miti SpA', 'Newsweek', 'Rizla+.', 'Valvoline']",,March Engineering,,,"['Newsweek', 'Rizla+. ( South African Grand Prix only) Rothmans International ( Brazilian Grand Prix onwards)']",,"[{'text': 'Jochen Mass', 'url': 'https://en.wikipedia.org/wiki/Jochen_Mass'}]",,,,,,,,,
"[{'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",['Black and Green White and Blue'],,,"['Banco Comind', 'Café do Brasil', 'Embratur', 'ICI Record', 'Miti SpA', 'Newsweek', 'Rizla+.', 'Valvoline']",,March Engineering,,,"['Newsweek', 'Rizla+. ( South African Grand Prix only) Rothmans International ( Brazilian Grand Prix onwards)']",,"[{'text': 'Rupert Keegan', 'url': 'https://en.wikipedia.org/wiki/Rupert_Keegan'}]",,,,,,,,,
"[{'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",['Black and Green White and Blue'],,,"['Banco Comind', 'Café do Brasil', 'Embratur', 'ICI Record', 'Miti SpA', 'Newsweek', 'Rizla+.', 'Valvoline']",,March Engineering,,,"['Newsweek', 'Rizla+. ( South African Grand Prix only) Rothmans International ( Brazilian Grand Prix onwards)']",,"[{'text': 'Raul Boesel', 'url': 'https://en.wikipedia.org/wiki/Raul_Boesel'}]",,,,,,,,,
"[{'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",['Blue'],,,"['Crysen Corporation', 'Rizla+.', 'Texas UK', 'Visit Spain']",,March Engineering,,,['LBT Synthetic Engine Oil'],,"[{'text': 'Emilio de Villota', 'url': 'https://en.wikipedia.org/wiki/Emilio_de_Villota'}]",,,,,,,,,
"[{'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}]",['Light Blue'],,,['Cobra'],,March Engineering,,,['Leyton House'],,"[{'text': 'Ivan Capelli', 'url': None}]",,,,,,,,,
"[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}]",['Light Blue'],,,"['Diesel', 'Annic', 'Cobra', 'Diavia', 'Osama']",,March Engineering,,,['Leyton House'],,"[{'text': 'Ivan Capelli Maurício Gugelmin', 'url': None}]",,,,,,,,,
"[{'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}]",['Light Blue'],,,"['BP', 'Annic', 'Osama', 'Diavia']",,March Engineering,,,['Leyton House'],,"[{'text': 'Ivan Capelli Maurício Gugelmin', 'url': None}]",,,,,,,,,
"[{'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}]",['Light Blue'],,,"['BP', 'Annic', 'Osama', 'Diavia', 'Carglass']",,March Engineering,,,['Leyton House'],,"[{'text': 'Ivan Capelli Maurício Gugelmin', 'url': None}]",,,,,,,,,
"[{'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}]",['Light Blue'],,,"['BP', 'Annic', 'Osama', 'Diavia', 'Autoglass']",,March Engineering,,,['Leyton House'],,"[{'text': 'Ivan Capelli Maurício Gugelmin Karl Wendlinger', 'url': None}]",,,,,,,,,
"[{'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}]",['Light Blue'],,,"['BP', 'Rial', 'Bon Appetit', 'Sportrack', 'Antera Wheels', 'Corona.']",,March Engineering,,,"['Uliveto', 'BFI', 'Rizla+', 'Blaupunkt', 'Autoglass']",,"[{'text': 'Karl Wendlinger Paul Belmondo Emanuele Naspetti Jan Lammers', 'url': None}]",,,,,,,,,
"[{'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}]","['Black', 'Red']","['White', 'Grey']",,"['Virgin', 'QNET', 'CNBC', 'Pirelli']",,Marussia,,,['Marussia Motors'],,,,,,,,,,,
"[{'year': 2013, 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}]","['Red', 'Black']",['White'],,"['QNET', 'Sage ERP X3', 'Antler', 'Bifold', 'Pirelli', 'RBK TV']",,Marussia,,,['Marussia Motors'],,,,,,,,,,,
"[{'year': 2014, 'url': 'https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship'}]","['Red', 'Black']",['White'],,"['QNET', 'Sage ERP X3', 'Bifold', 'ROYALS', 'ARMIN STROM', 'Pirelli']",,Marussia,,,['Marussia Motors'],,,,,,,,,,,
"[{'year': 2015, 'url': 'https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship'}]","['Red', 'White']","['Black', 'Blue']",,"['Airbnb', 'Erreà', 'Pirelli', 'Coupons.com', 'Alaska Coffee Roasting', 'Shazam']",,Marussia,,,['Flex-Box'],,,,,,,,,,,
"[{'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}]",['Blue'],"['Red', 'White', 'Orange']","['MasterCard', 'Pennzoil']","['Lycra', 'Lola', 'Track & Field', ""Men's Health"", 'Safra', 'Bridgestone']",,MasterCard Lola,,,,,,,,,,,,,,
[],['Green'],[],,,,Matra,,,[],,,,,,Caltex,,,,,
"[{'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}]",['Blue'],[],,,,Matra,,,"['Matra', 'Elf (Matra MS10 car)']",,,,,,"A French, British and Scottish flag in honour of the constructor ( Matra ), team ( Matra International ) and driver ( Jackie Stewart ) respectively ( Jackie Stewart 's Matra MS10 car).",,,,,
"[{'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}]",['Blue'],['White'],,,,Matra,,,"['Matra', 'Dunlop']",,,,,,Elf,,,,,
"[{'year': 1970, 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_World_Championship'}, {'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}, {'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}]",['Blue'],"[""Green and White (Pescarolo's car)"", ""White and Red (Beltoise's car)""]",,,,Matra,,,['Matra-Simca'],,,,,,"Goodyear, Elf",,,,,
"[{'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}]","['White', 'Black']",[],,[],,McLaren,,,,,,,,,,,,,,
"[{'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}]","['White', 'Red']",[],,[],,McLaren,,,,,,,,,,,,,,
"[{'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}]","['Red', 'Silver', 'Green']",[],,[],,McLaren,,,,,,,,,,,,,,
"[{'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}, {'year': 1970, 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_World_Championship'}, {'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}, {'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}]","['Yellow', 'Orange']",['White'],,"['Goodyear', 'Reynolds Aluminium', 'Autolite', 'Gulf', 'BP', 'Sasol']",,McLaren,,,,,,,,,,,,,,
"[{'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}, {'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}, {'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}]",['White'],['Black and Orange'],,"['Goodyear', 'Heuer', 'Champion', 'Gulf', 'Texaco', 'Lockheed']",,McLaren,,,,,,,,,,"{'text': 'Yardley', 'url': 'https://en.wikipedia.org/wiki/Yardley_of_London'}",,,,
"[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}, {'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}, {'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}, {'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}, {'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}, {'year': 1983, 'url': 'https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship'}, {'year': 1984, 'url': 'https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship'}, {'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}, {'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}, {'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}, {'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}, {'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}, {'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}, {'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}]",['White'],"['Red', 'Blue (1978-1979)', 'Gold (1978-1979)']",,"['TAG Group (1983-1996)', 'Texaco (1974-1979)', 'Castrol (1980)', 'Unipart (1981-1983)', 'Valvoline (1981)', 'Shell (1984-1994)', 'Mobil 1 (1995-1996)', 'Hugo Boss (1984-1996)', 'Honda (1988-1992)', 'Saima Avandero (1984-1986)', 'Showa (1988-1991)', 'Tencel (1995)', 'Kmart (1993)', 'Courtaulds (1989-1995)', 'Goodyear (1974-1980', '1985-1996)', 'Michelin (1981-1984)', 'Hercules (1981-1987)', 'Ford (1993)', 'Peugeot (1994)', 'Mercedes-Benz (1995-1996)', 'Loctite (1995-1996)', 'Camozzi (1991-1996)', 'Champion (1978-1979)']",,McLaren,,,,,,,,,,"Marlboro , Löwenbräu (1978-1979)","Marlboro was replaced by a chevron (1974), barcode (1984-1985, 1987-1992) or with the McLaren brand (1986, 1991-1993). At the 1978 United States Grand Prix, 1978 Canadian Grand Prix and 1979 Long Beach Grand Prix, McLaren raced a Löwenbräu livery to promote the brand. At the 1986 Portuguese Grand Prix, Keke Rosberg's car was painted yellow and white rather than red and white to advertise Marlboro Lights.",,,
"[{'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}, {'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}, {'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}]",['Black'],['Silver'],,"['Mercedes-Benz', 'Mobil', 'Siemens (2004-2005)', 'Mobil 1', 'CA', 'Inc. (1997-2002)', 'Hugo Boss', 'SAP (1997', '2001-2005)', 'Schuco', 'Loctite (1997-2003)', 'Sonax (2003)', 'Sun Microsystems', 'Henkel (2004-2005)', 'Siemens Mobile (2001-2004)', 'Warsteiner (1998-2002)', 'Camozzi (1997-1998)', 'Hilton Hotels & Resorts (2005)', 'Goodyear (1997)', 'Bridgestone (1998-2001)', 'Fujitsu Siemens (1999-2000)']",,McLaren,,,,,,,,,,"{'text': 'West', 'url': 'https://en.wikipedia.org/wiki/West_(cigarette)'}","""West"" was removed or replaced with West logo (1997-1999), with driver's first names and ""Team"" (on team members clothing) (1999-2004) or driver's full name and ""Team McLaren"" (on team members clothing) (2005).",,,
"[{'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}]",['Chrome'],['Black and Red'],,"['Mercedes-Benz', 'Mobil 1', 'Johnnie Walker', 'Siemens', 'AT&T', 'Hugo Boss', 'SAP', 'Mobil 1', 'Schuco', 'Henkel', 'Hilton', 'Emirates']",,McLaren,,,,,,,,,,,"Johnnie Walker logos were either removed, or replaced by ""Keep Walking"" logos or Diageo's logo in Turkey, for races in Muslim countries which forbid alcohol advertising. They are still absent in those countries.",,,
